"Household final consumption expenditure, quarterly, Canada (x 1,000,000)" 1
"Quarterly"
"Table: 36-10-0107-01 (formerly CANSIM 380-0067)"
"Geography: Canada"

"","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018"
"","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food and non-alcoholic beverages  [C11]","64,925","65,170","65,287","65,661","65,860","65,839","66,006","66,344","66,494","66,483","66,993","67,325","68,004","67,807","67,973","67,942","68,729","68,988","68,864","69,099","69,420","69,991","70,102","70,120","70,778","71,327","70,867","71,280","71,724","72,201","72,760","72,863","73,166","73,924","74,223","74,494","74,706","75,420","75,778","76,883","77,572","78,097","78,177","78,583","79,189","79,168","79,019","79,197","79,259","79,965","80,806","81,462","81,756","81,983","82,029","82,487","83,179","83,770","83,652","84,153","84,696","84,356","84,289","84,330","85,162","85,950","86,338","86,405","86,291","86,965","87,658","88,843","89,150","89,258","89,118","88,737","89,404","89,661","90,129","90,317","90,612","91,103","91,249","91,295","91,157","90,668","90,839","91,029","90,924","91,236","91,580","92,072","92,470","93,014","93,298","93,859","94,300","94,314","94,891","95,500","95,598","95,734","95,932","96,069","95,990","96,747","97,595","98,941","99,987","101,315","101,838","102,387","102,726"
"Food  [C111]","58,850","59,012","59,086","59,412","59,560","59,545","59,671","59,930","60,159","60,115","60,562","60,813","61,506","61,311","61,455","61,436","61,971","62,242","62,179","62,437","62,682","63,223","63,362","63,393","63,997","64,456","63,940","64,173","64,409","64,835","65,309","65,361","65,274","65,917","66,162","66,402","66,589","67,226","67,565","68,547","69,704","70,149","70,184","70,488","71,055","70,955","70,745","70,821","70,756","71,388","72,119","72,685","72,954","73,125","73,125","73,478","74,059","74,551","74,448","74,930","75,236","74,971","74,930","74,956","75,703","76,361","76,719","76,766","76,414","77,048","77,737","78,860","79,112","79,010","78,767","78,464","79,075","79,368","79,718","79,942","80,314","80,696","80,832","80,906","80,655","80,366","80,468","80,608","80,708","80,908","81,244","81,692","82,152","82,632","82,900","83,476","83,740","83,720","84,256","84,804","84,936","85,048","85,256","85,332","85,504","86,080","86,832","87,944","88,972","90,400","90,840","91,208","91,404"
"Non-alcoholic beverages  [C112]","6,204","6,275","6,311","6,357","6,402","6,397","6,433","6,504","6,442","6,469","6,531","6,604","6,604","6,599","6,620","6,609","6,834","6,829","6,776","6,761","6,829","6,865","6,844","6,834","6,891","6,975","7,011","7,168","7,352","7,403","7,485","7,531","7,879","7,991","8,042","8,073","8,098","8,175","8,196","8,318","7,909","7,986","8,027","8,124","8,165","8,237","8,293","8,390","8,510","8,585","8,694","8,783","8,808","8,863","8,908","9,012","9,122","9,221","9,206","9,226","9,460","9,385","9,360","9,375","9,460","9,589","9,619","9,639","9,873","9,914","9,919","9,983","10,038","10,248","10,353","10,275","10,330","10,293","10,412","10,375","10,298","10,407","10,417","10,389","10,503","10,302","10,371","10,421","10,216","10,328","10,336","10,380","10,316","10,380","10,396","10,380","10,560","10,596","10,636","10,696","10,660","10,684","10,672","10,736","10,468","10,656","10,752","10,992","11,004","10,892","10,976","11,164","11,312"
"Alcoholic beverages,  tobacco and cannabis  [C12]","34,523","34,189","34,066","33,850","33,420","32,602","32,269","31,933","31,729","31,596","31,230","30,995","30,921","30,885","30,269","29,924","31,578","32,401","32,915","33,086","32,713","33,398","33,842","33,670","33,117","32,692","32,435","32,707","33,177","33,567","34,139","34,235","34,888","35,013","34,963","34,737","34,935","35,138","35,530","36,183","35,652","35,724","35,896","36,105","36,310","36,297","36,142","36,215","36,628","36,167","36,418","36,445","36,292","36,101","36,256","36,479","36,230","36,157","36,325","36,111","36,032","35,998","35,969","36,339","36,300","36,521","36,425","36,418","36,309","36,787","36,684","37,007","37,014","37,217","37,373","37,299","37,396","37,452","37,499","36,919","37,833","38,265","38,724","38,897","38,640","38,592","38,720","39,097","38,952","39,644","39,644","39,632","39,879","39,628","39,541","39,218","39,466","39,810","39,719","40,044","40,097","40,085","40,304","40,144","40,375","40,627","40,190","40,380","40,381","40,432","40,391","40,671","40,895"
"Alcoholic beverages  [C121]","13,050","12,883","12,847","12,738","12,419","12,201","12,056","11,831","11,989","11,967","11,648","11,611","11,691","11,808","11,893","11,760","12,287","12,068","12,398","12,558","12,202","12,633","12,755","12,542","12,127","11,749","11,446","11,563","11,979","12,197","12,529","12,410","12,842","12,817","12,787","12,579","12,832","13,065","13,278","13,968","13,566","13,650","13,779","13,913","14,012","14,166","14,290","14,379","14,674","14,435","15,138","15,255","15,345","15,304","15,439","15,570","15,601","15,579","15,750","15,502","15,763","15,966","16,025","16,389","16,479","16,781","16,844","16,984","17,147","17,540","17,341","17,618","17,796","18,015","18,205","18,085","18,168","18,222","18,334","17,837","18,454","18,396","18,375","18,478","18,532","18,768","18,892","19,239","19,132","19,524","19,360","19,388","19,408","19,344","19,512","19,352","19,544","19,920","19,896","20,104","20,044","20,108","20,528","20,520","20,708","20,936","20,480","20,704","20,856","21,116","21,280","21,632","21,776"
"Tobacco  [C122]","21,078","20,886","20,783","20,651","20,548","19,753","19,517","19,370","18,899","18,751","18,688","18,420","18,188","17,949","16,992","16,690","18,111","19,715","19,821","19,701","19,736","19,912","20,299","20,348","20,179","20,137","20,215","20,306","20,125","20,211","20,382","20,648","20,752","20,876","20,743","20,657","20,372","20,135","20,220","19,850","19,659","19,507","19,441","19,422","19,469","19,108","18,614","18,500","18,545","18,218","17,583","17,431","17,105","16,889","16,877","16,947","16,597","16,504","16,469","16,475","16,055","15,757","15,629","15,600","15,431","15,303","15,093","14,889","14,551","14,612","14,695","14,705","14,481","14,421","14,342","14,356","14,328","14,291","14,179","14,068","14,323","14,784","15,235","15,258","14,886","14,547","14,500","14,481","14,428","14,648","14,728","14,596","14,804","14,556","14,248","14,032","14,036","13,956","13,840","13,896","13,940","13,832","13,632","13,484","13,536","13,572","13,592","13,592","13,496","13,352","13,200","13,160","13,164"
