"Archived - Household sector, selected indicators, Canada, quarterly, inactive 1"																																																																																																																	
Quarterly																																																																																																																	
Table: 36-10-0435-01 (formerly CANSIM 380-0073)																																																																																																																	
	Seasonally adjusted at annual rates																																																																																																																
	Canada																																																																																																																
Estimates	Q1 1990	Q2 1990	Q3 1990	Q4 1990	Q1 1991	Q2 1991	Q3 1991	Q4 1991	Q1 1992	Q2 1992	Q3 1992	Q4 1992	Q1 1993	Q2 1993	Q3 1993	Q4 1993	Q1 1994	Q2 1994	Q3 1994	Q4 1994	Q1 1995	Q2 1995	Q3 1995	Q4 1995	Q1 1996	Q2 1996	Q3 1996	Q4 1996	Q1 1997	Q2 1997	Q3 1997	Q4 1997	Q1 1998	Q2 1998	Q3 1998	Q4 1998	Q1 1999	Q2 1999	Q3 1999	Q4 1999	Q1 2000	Q2 2000	Q3 2000	Q4 2000	Q1 2001	Q2 2001	Q3 2001	Q4 2001	Q1 2002	Q2 2002	Q3 2002	Q4 2002	Q1 2003	Q2 2003	Q3 2003	Q4 2003	Q1 2004	Q2 2004	Q3 2004	Q4 2004	Q1 2005	Q2 2005	Q3 2005	Q4 2005	Q1 2006	Q2 2006	Q3 2006	Q4 2006	Q1 2007	Q2 2007	Q3 2007	Q4 2007	Q1 2008	Q2 2008	Q3 2008	Q4 2008	Q1 2009	Q2 2009	Q3 2009	Q4 2009	Q1 2010	Q2 2010	Q3 2010	Q4 2010	Q1 2011	Q2 2011	Q3 2011	Q4 2011	Q1 2012	Q2 2012	Q3 2012	Q4 2012	Q1 2013	Q2 2013	Q3 2013	Q4 2013	Q1 2014	Q2 2014	Q3 2014	Q4 2014	Q1 2015	Q2 2015	Q3 2015	Q4 2015	Q1 2016	Q2 2016	Q3 2016	Q4 2016	Q1 2017	Q2 2017	Q3 2017	Q4 2017	Q1 2018
	Dollars																																																																																																																
"Household income  (x 1,000,000)"	"612,996"	"623,964"	"629,424"	"636,492"	"638,328"	"645,716"	"650,156"	"651,904"	"656,168"	"661,876"	"665,408"	"666,796"	"674,056"	"677,420"	"679,172"	"680,008"	"683,220"	"690,328"	"698,820"	"705,684"	"713,116"	"719,876"	"724,948"	"727,684"	"731,264"	"734,344"	"740,012"	"747,952"	"752,404"	"761,420"	"773,720"	"779,920"	"792,476"	"801,224"	"807,028"	"820,820"	"824,648"	"837,852"	"847,768"	"859,348"	"877,500"	"893,708"	"908,208"	"918,084"	"936,624"	"939,852"	"941,028"	"944,500"	"949,300"	"953,284"	"963,680"	"978,584"	"984,528"	"987,824"	"997,044"	"1,008,892"	"1,027,464"	"1,041,904"	"1,055,320"	"1,067,648"	"1,075,852"	"1,097,000"	"1,111,700"	"1,124,836"	"1,161,264"	"1,167,388"	"1,193,032"	"1,213,676"	"1,234,644"	"1,263,116"	"1,274,204"	"1,289,992"	"1,317,352"	"1,317,152"	"1,329,724"	"1,324,204"	"1,318,620"	"1,312,704"	"1,323,136"	"1,332,096"	"1,341,716"	"1,359,868"	"1,372,144"	"1,398,560"	"1,413,804"	"1,427,496"	"1,441,292"	"1,452,296"	"1,475,336"	"1,488,400"	"1,503,968"	"1,517,992"	"1,537,368"	"1,546,764"	"1,561,000"	"1,579,060"	"1,590,148"	"1,602,372"	"1,620,612"	"1,633,456"	"1,662,108"	"1,679,344"	"1,696,088"	"1,709,932"	"1,698,072"	"1,712,968"	"1,731,712"	"1,751,300"	"1,761,120"	"1,784,600"	"1,807,972"	"1,831,992"	"1,848,904"
"Compensation of employees  (x 1,000,000)"	"364,088"	"369,216"	"370,736"	"373,644"	"375,700"	"378,296"	"382,092"	"384,708"	"385,772"	"388,852"	"390,612"	"392,372"	"394,736"	"395,572"	"397,400"	"397,864"	"400,020"	"406,436"	"409,944"	"413,332"	"416,724"	"419,180"	"423,184"	"424,560"	"425,292"	"427,752"	"432,716"	"440,404"	"444,648"	"452,076"	"462,084"	"464,676"	"471,336"	"478,032"	"482,644"	"490,048"	"493,660"	"501,928"	"510,664"	"521,016"	"533,368"	"550,308"	"558,168"	"563,992"	"570,140"	"572,916"	"575,092"	"578,964"	"586,108"	"592,032"	"599,780"	"609,212"	"613,824"	"615,924"	"621,740"	"630,912"	"641,972"	"653,456"	"661,952"	"667,240"	"675,680"	"686,756"	"698,516"	"709,480"	"719,292"	"732,208"	"743,484"	"754,300"	"768,088"	"780,652"	"786,024"	"795,488"	"809,336"	"818,472"	"822,476"	"822,148"	"812,092"	"807,084"	"808,080"	"814,968"	"820,544"	"829,788"	"840,236"	"853,192"	"869,600"	"875,820"	"884,344"	"894,816"	"904,796"	"916,868"	"928,328"	"935,968"	"947,684"	"953,120"	"962,004"	"973,916"	"981,384"	"991,524"	"1,004,236"	"1,007,844"	"1,018,172"	"1,022,996"	"1,026,316"	"1,031,760"	"1,033,476"	"1,037,928"	"1,042,540"	"1,053,976"	"1,064,296"	"1,073,476"	"1,088,372"	"1,103,220"	"1,114,036"
"Net mixed income  (x 1,000,000)"	"65,996"	"66,092"	"66,540"	"66,428"	"67,416"	"69,032"	"69,404"	"69,604"	"70,920"	"71,288"	"72,132"	"72,976"	"72,980"	"74,952"	"75,764"	"76,176"	"77,100"	"77,960"	"78,676"	"79,760"	"80,344"	"81,208"	"82,828"	"83,200"	"83,984"	"84,996"	"85,664"	"85,240"	"85,464"	"86,100"	"86,988"	"87,852"	"89,432"	"90,200"	"91,160"	"92,600"	"92,524"	"94,124"	"95,112"	"95,636"	"97,516"	"98,144"	"99,400"	"101,228"	"102,624"	"102,940"	"103,976"	"104,884"	"105,808"	"106,792"	"107,792"	"109,644"	"110,620"	"111,184"	"112,584"	"114,048"	"115,412"	"117,372"	"118,672"	"119,564"	"119,204"	"120,496"	"122,032"	"122,740"	"123,044"	"126,144"	"127,752"	"129,608"	"132,484"	"134,188"	"135,268"	"136,920"	"139,492"	"140,476"	"140,860"	"138,368"	"138,284"	"139,928"	"141,516"	"143,080"	"143,504"	"145,832"	"148,448"	"151,068"	"151,240"	"152,740"	"154,364"	"155,796"	"157,264"	"157,188"	"159,088"	"160,604"	"161,536"	"162,536"	"163,464"	"164,456"	"164,228"	"167,132"	"168,368"	"169,756"	"172,076"	"174,256"	"175,952"	"177,644"	"179,172"	"180,692"	"180,964"	"181,784"	"186,084"	"187,688"	"189,652"	"191,908"	"192,052"
"Property income received  (x 1,000,000)2"	"102,048"	"106,588"	"108,008"	"107,100"	"105,476"	"102,988"	"101,088"	"98,800"	"98,544"	"97,968"	"96,200"	"94,136"	"94,500"	"94,128"	"92,688"	"92,780"	"91,180"	"91,216"	"95,568"	"97,364"	"100,624"	"104,008"	"103,504"	"103,760"	"104,168"	"103,792"	"103,376"	"103,312"	"103,084"	"103,408"	"103,048"	"102,440"	"105,312"	"106,516"	"105,972"	"109,056"	"110,176"	"112,564"	"112,776"	"111,648"	"114,132"	"115,532"	"119,424"	"120,240"	"118,116"	"118,900"	"116,016"	"114,736"	"111,560"	"107,900"	"108,524"	"109,400"	"107,668"	"108,264"	"109,816"	"108,952"	"111,864"	"111,344"	"113,972"	"115,656"	"118,932"	"123,188"	"125,208"	"124,552"	"132,644"	"131,764"	"139,144"	"144,868"	"146,808"	"157,064"	"154,488"	"156,308"	"161,332"	"159,204"	"161,884"	"157,632"	"156,108"	"152,396"	"151,440"	"148,480"	"150,976"	"151,372"	"152,084"	"155,644"	"160,164"	"160,500"	"165,612"	"162,384"	"167,848"	"170,236"	"170,120"	"173,140"	"172,356"	"174,252"	"177,040"	"177,720"	"181,320"	"181,528"	"180,156"	"184,500"	"190,140"	"196,984"	"202,424"	"207,040"	"189,644"	"190,744"	"196,576"	"200,800"	"197,820"	"205,060"	"210,244"	"214,628"	"217,716"
"Current transfers received  (x 1,000,000)"	"80,864"	"82,068"	"84,140"	"89,320"	"89,736"	"95,400"	"97,572"	"98,792"	"100,932"	"103,768"	"106,464"	"107,312"	"111,840"	"112,768"	"113,320"	"113,188"	"114,920"	"114,716"	"114,632"	"115,228"	"115,424"	"115,480"	"115,432"	"116,164"	"117,820"	"117,804"	"118,256"	"118,996"	"119,208"	"119,836"	"121,600"	"124,952"	"126,396"	"126,476"	"127,252"	"129,116"	"128,288"	"129,236"	"129,216"	"131,048"	"132,484"	"129,724"	"131,216"	"132,624"	"145,744"	"145,096"	"145,944"	"145,916"	"145,824"	"146,560"	"147,584"	"150,328"	"152,416"	"152,452"	"152,904"	"154,980"	"158,216"	"159,732"	"160,724"	"165,188"	"162,036"	"166,560"	"165,944"	"168,064"	"186,284"	"177,272"	"182,652"	"184,900"	"187,264"	"191,212"	"198,424"	"201,276"	"207,192"	"199,000"	"204,504"	"206,056"	"212,136"	"213,296"	"222,100"	"225,568"	"226,692"	"232,876"	"231,376"	"238,656"	"232,800"	"238,436"	"236,972"	"239,300"	"245,428"	"244,108"	"246,432"	"248,280"	"255,792"	"256,856"	"258,492"	"262,968"	"263,216"	"262,188"	"267,852"	"271,356"	"281,720"	"285,108"	"291,396"	"293,488"	"295,780"	"303,604"	"311,632"	"314,740"	"312,920"	"318,376"	"319,704"	"322,236"	"325,100"
"Household outlays  (x 1,000,000)"	"587,116"	"607,676"	"605,384"	"609,064"	"606,024"	"627,820"	"626,732"	"625,100"	"635,964"	"635,956"	"631,076"	"642,632"	"649,800"	"637,672"	"657,704"	"666,132"	"666,880"	"670,908"	"684,096"	"692,120"	"698,540"	"706,780"	"717,436"	"717,932"	"726,140"	"732,088"	"739,748"	"752,604"	"761,936"	"774,936"	"780,664"	"788,796"	"800,164"	"814,444"	"812,468"	"820,940"	"831,300"	"843,656"	"856,136"	"869,808"	"889,884"	"904,636"	"918,588"	"924,116"	"929,336"	"952,684"	"939,552"	"944,044"	"950,568"	"966,652"	"974,228"	"993,720"	"995,668"	"1,007,016"	"1,023,780"	"1,028,308"	"1,051,248"	"1,057,964"	"1,071,016"	"1,087,276"	"1,111,508"	"1,126,972"	"1,145,592"	"1,153,700"	"1,181,760"	"1,197,080"	"1,212,464"	"1,225,848"	"1,244,752"	"1,291,184"	"1,307,324"	"1,325,740"	"1,347,908"	"1,340,668"	"1,344,272"	"1,323,236"	"1,315,584"	"1,312,560"	"1,318,944"	"1,329,020"	"1,328,520"	"1,366,012"	"1,375,516"	"1,399,348"	"1,416,720"	"1,437,908"	"1,450,120"	"1,453,956"	"1,476,896"	"1,488,876"	"1,498,872"	"1,513,808"	"1,523,592"	"1,538,684"	"1,558,848"	"1,573,972"	"1,589,400"	"1,612,968"	"1,624,460"	"1,644,196"	"1,651,260"	"1,668,024"	"1,687,248"	"1,702,680"	"1,717,904"	"1,716,532"	"1,724,284"	"1,744,480"	"1,769,100"	"1,788,344"	"1,801,028"	"1,826,224"	"1,843,660"
